,Station Id,Station Name,lat,lon,geometry
159,7167,Queen St E / George St (Moss Park),43.6544444,-79.3711111111111,POINT (-79.37111111111111 43.6544444)
160,7168,Queens Quay / Yonge St,43.641646,-79.375308,POINT (-79.375308 43.641646)
161,7169,Front St W / Bay St (North Side),43.646162,-79.378912,POINT (-79.378912 43.646162)
162,7170,Spadina Ave / Willcocks St,43.6616667,-79.40138888888889,POINT (-79.40138888888889 43.6616667)
163,7171,Ontario Place Blvd / Lake Shore Blvd W (East),43.6322445,-79.4108105,POINT (-79.4108105 43.6322445)
164,7172,Strachan Ave / Princes' Blvd,43.635,-79.4088888888889,POINT (-79.4088888888889 43.635)
165,7173,Cariboo St / Rail Path,43.66666667,-79.45833333333334,POINT (-79.45833333333334 43.66666667)
166,7174,Bloor St W / Dundas St W,43.6563889,-79.45166666666667,POINT (-79.45166666666667 43.6563889)
167,7175,HTO Park (Queens Quay W),43.63796,-79.387502,POINT (-79.387502 43.63796)
168,7176,Bathurst St / Fort York Blvd,43.639179,-79.399595,POINT (-79.39959500000001 43.639179)
169,7177,East Liberty St / Pirandello St,43.6386111111111,-79.4147222222222,POINT (-79.4147222222222 43.6386111111111)
170,7178,Dundas St W / Edna Ave,43.657192,-79.452559,POINT (-79.45255899999999 43.657192)
171,7179,Bloor GO / UP Station (West Toronto Railpath),43.6575,-79.4502777777778,POINT (-79.4502777777778 43.6575)
172,7180,Lansdowne Subway Station,43.6587734,-79.443054,POINT (-79.443054 43.6587734)
173,7181,Lansdowne Ave / Whytock Ave,43.6538888888889,-79.4413888888889,POINT (-79.44138888888889 43.6538888888889)
174,7182,Sterling Rd / Dundas St W - SMART,43.6508333333333,-79.4430555555556,POINT (-79.4430555555556 43.6508333333333)
175,7183,St Clarens Ave / College St,43.651238,-79.43868,POINT (-79.43868000000001 43.651238)
176,7184,Ossington Ave / College St,43.6544915,-79.422634,POINT (-79.422634 43.6544915)
177,7188,Exhibition GO (Atlantic Ave),43.6366666666667,-79.4197222222222,POINT (-79.41972222222221 43.6366666666667)
178,7189,Augusta Ave / Denison Sq,43.653766,-79.4016759,POINT (-79.4016759 43.653766)
179,7190,St. George St / Hoskin Ave,43.6637403,-79.39806449999999,POINT (-79.39806449999999 43.6637403)
180,7191,Central Tech  (Harbord St),43.661975,-79.407896,POINT (-79.40789599999999 43.661975)
181,7192,Harbord St / Clinton St - SMART,43.660414,-79.415646,POINT (-79.415646 43.660414)
182,7193,Queen St W / Gladstone Ave,43.6430555555556,-79.4275,POINT (-79.42749999999999 43.6430555555556)
183,7194,Mortimer Ave / Coxwell Ave,43.690564,-79.326319,POINT (-79.326319 43.690564)
184,7195,Ulster St / Bathurst St,43.66,-79.4088888888889,POINT (-79.4088888888889 43.66)
185,7196,Roxton Rd / Harbord St - SMART,43.65905,-79.422988,POINT (-79.422988 43.65905)
186,7197,Queen St W / Dovercourt Rd,43.6436111111111,-79.4225,POINT (-79.4225 43.6436111111111)
187,7198,Queen St W / Cowan Ave,43.6409,-79.432837,POINT (-79.43283700000001 43.6409)
