EndDt_DtFin,MjrCmdtyEn_PrdtPrncplAn,MjCmdtyFr_PrdtPrncplFr,CtgryEn_CtgrieAn,CtgryFr_CtgrieFr,NumHd_NmbTetes
1999-08-28,Calves,Veaux,Male,Male,19788
1999-08-28,Cattle,Bovins,Bulls,Taureaux,3274
1999-08-28,Cattle,Bovins,Cows,Vaches,39478
1999-08-28,Cattle,Bovins,Heifers,Genisses,94532
1999-08-28,Cattle,Bovins,Steers,Bouvillons,149131
1999-08-28,Hogs,Porcs,Hogs,Porcs,1445486
1999-08-28,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,28259
1999-10-02,Calves,Veaux,Female,Femelle,4231
1999-10-02,Calves,Veaux,Male,Male,24458
1999-10-02,Cattle,Bovins,Bulls,Taureaux,4026
1999-10-02,Cattle,Bovins,Cows,Vaches,48229
1999-10-02,Cattle,Bovins,Heifers,Genisses,128832
1999-10-02,Cattle,Bovins,Steers,Bouvillons,166709
1999-10-02,Hogs,Porcs,Hogs,Porcs,1834210
1999-10-02,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,30737
1999-10-30,Calves,Veaux,Female,Femelle,3530
1999-10-30,Calves,Veaux,Male,Male,23075
1999-10-30,Cattle,Bovins,Bulls,Taureaux,3191
1999-10-30,Cattle,Bovins,Cows,Vaches,40993
1999-10-30,Cattle,Bovins,Heifers,Genisses,114936
1999-10-30,Cattle,Bovins,Steers,Bouvillons,120984
1999-10-30,Hogs,Porcs,Hogs,Porcs,1506675
1999-10-30,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,26608
1999-11-27,Calves,Veaux,Female,Femelle,3588
1999-11-27,Calves,Veaux,Male,Male,22526
1999-11-27,Cattle,Bovins,Bulls,Taureaux,3374
1999-11-27,Cattle,Bovins,Cows,Vaches,46193
1999-11-27,Cattle,Bovins,Heifers,Genisses,98891
1999-11-27,Cattle,Bovins,Steers,Bouvillons,116540
1999-11-27,Hogs,Porcs,Hogs,Porcs,1558722
1999-11-27,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,27879
2000-01-01,Calves,Veaux,Female,Femelle,5112
2000-01-01,Calves,Veaux,Male,Male,24507
2000-01-01,Cattle,Bovins,Bulls,Taureaux,2772
2000-01-01,Cattle,Bovins,Cows,Vaches,51702
2000-01-01,Cattle,Bovins,Heifers,Genisses,106160
2000-01-01,Cattle,Bovins,Steers,Bouvillons,137360
2000-01-01,Hogs,Porcs,Hogs,Porcs,1774800
2000-01-01,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,41859
2000-01-29,Calves,Veaux,Female,Femelle,3762
2000-01-29,Calves,Veaux,Male,Male,21048
2000-01-29,Cattle,Bovins,Bulls,Taureaux,2139
2000-01-29,Cattle,Bovins,Cows,Vaches,44131
2000-01-29,Cattle,Bovins,Heifers,Genisses,88240
2000-01-29,Cattle,Bovins,Steers,Bouvillons,111827
2000-01-29,Hogs,Porcs,Hogs,Porcs,1528233
2000-01-29,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,22464
2000-02-26,Calves,Veaux,Female,Femelle,3674
2000-02-26,Calves,Veaux,Male,Male,20990
2000-02-26,Cattle,Bovins,Bulls,Taureaux,1973
2000-02-26,Cattle,Bovins,Cows,Vaches,42287
2000-02-26,Cattle,Bovins,Heifers,Genisses,106917
2000-02-26,Cattle,Bovins,Steers,Bouvillons,105287
2000-02-26,Hogs,Porcs,Hogs,Porcs,1503847
2000-02-26,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,22073
2000-04-01,Calves,Veaux,Female,Femelle,4455
2000-04-01,Calves,Veaux,Male,Male,26081
2000-04-01,Cattle,Bovins,Bulls,Taureaux,2356
2000-04-01,Cattle,Bovins,Cows,Vaches,51442
2000-04-01,Cattle,Bovins,Heifers,Genisses,139309
2000-04-01,Cattle,Bovins,Steers,Bouvillons,129197
2000-04-01,Hogs,Porcs,Hogs,Porcs,1898961
2000-04-01,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,32748
2000-04-29,Calves,Veaux,Female,Femelle,3094
2000-04-29,Calves,Veaux,Male,Male,20983
2000-04-29,Cattle,Bovins,Bulls,Taureaux,2216
2000-04-29,Cattle,Bovins,Cows,Vaches,37678
2000-04-29,Cattle,Bovins,Heifers,Genisses,76219
2000-04-29,Cattle,Bovins,Steers,Bouvillons,141830
2000-04-29,Hogs,Porcs,Hogs,Porcs,1433674
2000-04-29,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,47982
2000-05-27,Calves,Veaux,Female,Femelle,3205
2000-05-27,Calves,Veaux,Male,Male,21953
2000-05-27,Cattle,Bovins,Bulls,Taureaux,2870
2000-05-27,Cattle,Bovins,Cows,Vaches,37076
2000-05-27,Cattle,Bovins,Heifers,Genisses,69933
2000-05-27,Cattle,Bovins,Steers,Bouvillons,173588
2000-05-27,Hogs,Porcs,Hogs,Porcs,1428010
2000-05-27,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,28078
2000-07-01,Calves,Veaux,Female,Femelle,3389
2000-07-01,Calves,Veaux,Male,Male,25957
2000-07-01,Cattle,Bovins,Bulls,Taureaux,2798
2000-07-01,Cattle,Bovins,Cows,Vaches,45576
2000-07-01,Cattle,Bovins,Heifers,Genisses,95558
2000-07-01,Cattle,Bovins,Steers,Bouvillons,212773
2000-07-01,Hogs,Porcs,Hogs,Porcs,1765196
2000-07-01,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,32958
2000-07-29,Calves,Veaux,Female,Femelle,3030
2000-07-29,Calves,Veaux,Male,Male,20779
2000-07-29,Cattle,Bovins,Bulls,Taureaux,2212
2000-07-29,Cattle,Bovins,Cows,Vaches,32629
2000-07-29,Cattle,Bovins,Heifers,Genisses,73372
2000-07-29,Cattle,Bovins,Steers,Bouvillons,172675
2000-07-29,Hogs,Porcs,Hogs,Porcs,1466483
2000-07-29,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,29350
2000-08-26,Calves,Veaux,Female,Femelle,2937
2000-08-26,Calves,Veaux,Male,Male,21037
2000-08-26,Cattle,Bovins,Bulls,Taureaux,2269
2000-08-26,Cattle,Bovins,Cows,Vaches,30358
2000-08-26,Cattle,Bovins,Heifers,Genisses,83907
2000-08-26,Cattle,Bovins,Steers,Bouvillons,147181
2000-08-26,Hogs,Porcs,Hogs,Porcs,1484732
2000-08-26,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,31727
2000-09-30,Calves,Veaux,Female,Femelle,3329
2000-09-30,Calves,Veaux,Male,Male,26121
2000-09-30,Cattle,Bovins,Bulls,Taureaux,2916
2000-09-30,Cattle,Bovins,Cows,Vaches,37212
2000-09-30,Cattle,Bovins,Heifers,Genisses,111844
2000-09-30,Cattle,Bovins,Steers,Bouvillons,173006
2000-09-30,Hogs,Porcs,Hogs,Porcs,1887170
2000-09-30,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,32528
2000-10-28,Calves,Veaux,Female,Femelle,3114
2000-10-28,Calves,Veaux,Male,Male,21780
