dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1844-07-01,7.499,1.114,Melbourne,Australia,37.78S,144.41E
1844-08-01,7.971,1.953,Melbourne,Australia,37.78S,144.41E
1844-09-01,9.624,1.092,Melbourne,Australia,37.78S,144.41E
1844-10-01,11.923,1.381,Melbourne,Australia,37.78S,144.41E
1844-11-01,13.380999999999998,1.455,Melbourne,Australia,37.78S,144.41E
1844-12-01,16.095,1.823,Melbourne,Australia,37.78S,144.41E
1845-01-01,19.463,1.879,Melbourne,Australia,37.78S,144.41E
1845-02-01,18.369,3.011,Melbourne,Australia,37.78S,144.41E
1845-03-01,17.201999999999998,1.755,Melbourne,Australia,37.78S,144.41E
1845-04-01,13.538,1.398,Melbourne,Australia,37.78S,144.41E
1845-05-01,9.922,1.3,Melbourne,Australia,37.78S,144.41E
1845-06-01,8.056999999999999,1.245,Melbourne,Australia,37.78S,144.41E
1845-07-01,8.484,1.233,Melbourne,Australia,37.78S,144.41E
1845-08-01,8.728,0.998,Melbourne,Australia,37.78S,144.41E
1845-09-01,10.722,1.673,Melbourne,Australia,37.78S,144.41E
1845-10-01,12.008,1.849,Melbourne,Australia,37.78S,144.41E
1845-11-01,14.807,1.641,Melbourne,Australia,37.78S,144.41E
1845-12-01,16.608,3.437,Melbourne,Australia,37.78S,144.41E
1846-01-01,19.843,2.149,Melbourne,Australia,37.78S,144.41E
1846-02-01,18.836,1.685,Melbourne,Australia,37.78S,144.41E
1846-03-01,17.785999999999994,2.252,Melbourne,Australia,37.78S,144.41E
1846-04-01,12.805,1.452,Melbourne,Australia,37.78S,144.41E
1846-05-01,10.290999999999999,1.32,Melbourne,Australia,37.78S,144.41E
1846-06-01,8.953,1.523,Melbourne,Australia,37.78S,144.41E
1846-07-01,8.227,2.093,Melbourne,Australia,37.78S,144.41E
1846-08-01,8.437999999999999,2.077,Melbourne,Australia,37.78S,144.41E
1846-09-01,10.164,1.4269999999999998,Melbourne,Australia,37.78S,144.41E
1846-10-01,12.255,1.669,Melbourne,Australia,37.78S,144.41E
1846-11-01,15.314,2.735,Melbourne,Australia,37.78S,144.41E
1846-12-01,18.306,1.894,Melbourne,Australia,37.78S,144.41E
1847-01-01,19.216,3.109,Melbourne,Australia,37.78S,144.41E
1847-02-01,19.422,1.523,Melbourne,Australia,37.78S,144.41E
1847-03-01,16.229,1.471,Melbourne,Australia,37.78S,144.41E
1847-04-01,13.013,1.64,Melbourne,Australia,37.78S,144.41E
1847-05-01,9.505,1.4780000000000002,Melbourne,Australia,37.78S,144.41E
1847-06-01,7.754,1.57,Melbourne,Australia,37.78S,144.41E
1847-07-01,8.003,1.193,Melbourne,Australia,37.78S,144.41E
1847-08-01,8.996,1.362,Melbourne,Australia,37.78S,144.41E
1847-09-01,10.659,1.444,Melbourne,Australia,37.78S,144.41E
1847-10-01,12.095,1.231,Melbourne,Australia,37.78S,144.41E
1847-11-01,14.470999999999998,1.556,Melbourne,Australia,37.78S,144.41E
1847-12-01,17.029,3.949,Melbourne,Australia,37.78S,144.41E
1848-01-01,17.467,2.051,Melbourne,Australia,37.78S,144.41E
1848-02-01,18.765,2.685,Melbourne,Australia,37.78S,144.41E
1848-03-01,17.136,1.77,Melbourne,Australia,37.78S,144.41E
1848-04-01,14.289,2.309,Melbourne,Australia,37.78S,144.41E
1848-05-01,9.742,1.386,Melbourne,Australia,37.78S,144.41E
1848-06-01,8.328,1.482,Melbourne,Australia,37.78S,144.41E
1848-07-01,7.3900000000000015,2.253,Melbourne,Australia,37.78S,144.41E
1848-08-01,8.045,1.4340000000000002,Melbourne,Australia,37.78S,144.41E
1848-09-01,9.142,1.702,Melbourne,Australia,37.78S,144.41E
1848-10-01,11.485,2.002,Melbourne,Australia,37.78S,144.41E
1848-11-01,13.632,1.6840000000000002,Melbourne,Australia,37.78S,144.41E
1848-12-01,15.598,2.451,Melbourne,Australia,37.78S,144.41E
1849-01-01,18.074,2.081,Melbourne,Australia,37.78S,144.41E
1849-02-01,17.73,3.113,Melbourne,Australia,37.78S,144.41E
1849-03-01,16.302,3.404,Melbourne,Australia,37.78S,144.41E
1849-04-01,11.633,2.393,Melbourne,Australia,37.78S,144.41E
1849-05-01,9.138,1.243,Melbourne,Australia,37.78S,144.41E
1849-06-01,7.9179999999999975,1.666,Melbourne,Australia,37.78S,144.41E
1849-07-01,7.702000000000001,1.261,Melbourne,Australia,37.78S,144.41E
1849-08-01,8.536,1.158,Melbourne,Australia,37.78S,144.41E
1849-09-01,8.821,1.796,Melbourne,Australia,37.78S,144.41E
1849-10-01,12.119000000000002,1.749,Melbourne,Australia,37.78S,144.41E
1849-11-01,13.995,2.294,Melbourne,Australia,37.78S,144.41E
1849-12-01,15.657,1.426,Melbourne,Australia,37.78S,144.41E
1850-01-01,17.33,1.74,Melbourne,Australia,37.78S,144.41E
1850-02-01,18.545,2.457,Melbourne,Australia,37.78S,144.41E
1850-03-01,17.418,1.5,Melbourne,Australia,37.78S,144.41E
1850-04-01,12.927,1.54,Melbourne,Australia,37.78S,144.41E
1850-05-01,9.889,1.4169999999999998,Melbourne,Australia,37.78S,144.41E
1850-06-01,8.597999999999999,1.35,Melbourne,Australia,37.78S,144.41E
1850-07-01,7.572999999999999,1.471,Melbourne,Australia,37.78S,144.41E
1850-08-01,8.3,1.689,Melbourne,Australia,37.78S,144.41E
1850-09-01,,,Melbourne,Australia,37.78S,144.41E
1850-10-01,12.023,1.71,Melbourne,Australia,37.78S,144.41E
1850-11-01,13.729000000000001,1.49,Melbourne,Australia,37.78S,144.41E
1850-12-01,16.526,1.396,Melbourne,Australia,37.78S,144.41E
1851-01-01,18.597,1.619,Melbourne,Australia,37.78S,144.41E
1851-02-01,18.959000000000003,1.452,Melbourne,Australia,37.78S,144.41E
1851-03-01,16.087,1.365,Melbourne,Australia,37.78S,144.41E
1851-04-01,13.316,2.201,Melbourne,Australia,37.78S,144.41E
1851-05-01,10.303999999999998,1.409,Melbourne,Australia,37.78S,144.41E
1851-06-01,8.876,1.413,Melbourne,Australia,37.78S,144.41E
1851-07-01,8.404,1.133,Melbourne,Australia,37.78S,144.41E
1851-08-01,8.65,1.394,Melbourne,Australia,37.78S,144.41E
1851-09-01,10.184,1.176,Melbourne,Australia,37.78S,144.41E
1851-10-01,11.946,2.494,Melbourne,Australia,37.78S,144.41E
1851-11-01,13.296,1.7080000000000002,Melbourne,Australia,37.78S,144.41E
1851-12-01,17.012999999999998,2.247,Melbourne,Australia,37.78S,144.41E
1852-01-01,18.19,3.193,Melbourne,Australia,37.78S,144.41E
1852-02-01,19.016,1.712,Melbourne,Australia,37.78S,144.41E
1852-03-01,16.613999999999994,2.084,Melbourne,Australia,37.78S,144.41E
1852-04-01,12.993,1.628,Melbourne,Australia,37.78S,144.41E
1852-05-01,10.03,2.011,Melbourne,Australia,37.78S,144.41E
1852-06-01,8.129,1.19,Melbourne,Australia,37.78S,144.41E
1852-07-01,7.905,1.212,Melbourne,Australia,37.78S,144.41E
1852-08-01,8.117,1.1,Melbourne,Australia,37.78S,144.41E
1852-09-01,10.119,1.095,Melbourne,Australia,37.78S,144.41E
1852-10-01,11.765,1.935,Melbourne,Australia,37.78S,144.41E
1852-11-01,13.976,1.725,Melbourne,Australia,37.78S,144.41E
1852-12-01,15.769,3.776,Melbourne,Australia,37.78S,144.41E
1853-01-01,17.519000000000002,1.7080000000000002,Melbourne,Australia,37.78S,144.41E
1853-02-01,17.397000000000002,1.594,Melbourne,Australia,37.78S,144.41E
1853-03-01,15.678999999999998,1.871,Melbourne,Australia,37.78S,144.41E
1853-04-01,12.852,1.365,Melbourne,Australia,37.78S,144.41E
1853-05-01,9.886,1.376,Melbourne,Australia,37.78S,144.41E
1853-06-01,7.749999999999999,1.753,Melbourne,Australia,37.78S,144.41E
1853-07-01,8.07,1.025,Melbourne,Australia,37.78S,144.41E
1853-08-01,8.889,1.102,Melbourne,Australia,37.78S,144.41E
1853-09-01,9.486,1.836,Melbourne,Australia,37.78S,144.41E
1853-10-01,11.424,1.786,Melbourne,Australia,37.78S,144.41E
1853-11-01,14.074000000000002,1.712,Melbourne,Australia,37.78S,144.41E
1853-12-01,17.041,1.337,Melbourne,Australia,37.78S,144.41E
1854-01-01,18.511,1.5,Melbourne,Australia,37.78S,144.41E
1854-02-01,18.526000000000003,1.611,Melbourne,Australia,37.78S,144.41E
1854-03-01,15.890999999999998,2.8480000000000003,Melbourne,Australia,37.78S,144.41E
1854-04-01,13.519,1.3769999999999998,Melbourne,Australia,37.78S,144.41E
1854-05-01,10.146999999999998,1.4680000000000002,Melbourne,Australia,37.78S,144.41E
1854-06-01,7.750999999999999,1.149,Melbourne,Australia,37.78S,144.41E
1854-07-01,8.095,1.24,Melbourne,Australia,37.78S,144.41E
1854-08-01,8.981,1.101,Melbourne,Australia,37.78S,144.41E
1854-09-01,9.302,1.64,Melbourne,Australia,37.78S,144.41E
1854-10-01,12.592,1.95,Melbourne,Australia,37.78S,144.41E
1854-11-01,13.865,1.932,Melbourne,Australia,37.78S,144.41E
1854-12-01,16.91,1.793,Melbourne,Australia,37.78S,144.41E
1855-01-01,,,Melbourne,Australia,37.78S,144.41E
1855-02-01,,,Melbourne,Australia,37.78S,144.41E
1855-03-01,,,Melbourne,Australia,37.78S,144.41E
1855-04-01,,,Melbourne,Australia,37.78S,144.41E
1855-05-01,11.032,1.317,Melbourne,Australia,37.78S,144.41E
1855-06-01,8.488,1.263,Melbourne,Australia,37.78S,144.41E
1855-07-01,7.4129999999999985,1.131,Melbourne,Australia,37.78S,144.41E
1855-08-01,8.603,0.917,Melbourne,Australia,37.78S,144.41E
1855-09-01,10.786,2.02,Melbourne,Australia,37.78S,144.41E
1855-10-01,13.04,2.291,Melbourne,Australia,37.78S,144.41E
1855-11-01,15.282,2.445,Melbourne,Australia,37.78S,144.41E
1855-12-01,16.802,3.234,Melbourne,Australia,37.78S,144.41E
1856-01-01,19.101,1.288,Melbourne,Australia,37.78S,144.41E
1856-02-01,19.493,2.371,Melbourne,Australia,37.78S,144.41E
1856-03-01,19.689,5.136,Melbourne,Australia,37.78S,144.41E
1856-04-01,14.484000000000002,2.198,Melbourne,Australia,37.78S,144.41E
1856-05-01,10.366,1.811,Melbourne,Australia,37.78S,144.41E
1856-06-01,8.815,1.737,Melbourne,Australia,37.78S,144.41E
1856-07-01,6.782,1.183,Melbourne,Australia,37.78S,144.41E
1856-08-01,9.025,2.094,Melbourne,Australia,37.78S,144.41E
1856-09-01,10.824000000000002,1.913,Melbourne,Australia,37.78S,144.41E
1856-10-01,12.357,1.925,Melbourne,Australia,37.78S,144.41E
1856-11-01,14.286,1.293,Melbourne,Australia,37.78S,144.41E
1856-12-01,15.536,1.862,Melbourne,Australia,37.78S,144.41E
1857-01-01,18.107,1.513,Melbourne,Australia,37.78S,144.41E
1857-02-01,21.033,4.725,Melbourne,Australia,37.78S,144.41E
1857-03-01,16.938,1.784,Melbourne,Australia,37.78S,144.41E
1857-04-01,14.604000000000001,3.173,Melbourne,Australia,37.78S,144.41E
1857-05-01,9.556,0.926,Melbourne,Australia,37.78S,144.41E
1857-06-01,8.248999999999999,0.899,Melbourne,Australia,37.78S,144.41E
1857-07-01,7.983,1.043,Melbourne,Australia,37.78S,144.41E
1857-08-01,8.968,1.53,Melbourne,Australia,37.78S,144.41E
1857-09-01,10.144,1.4240000000000002,Melbourne,Australia,37.78S,144.41E
1857-10-01,12.22,1.525,Melbourne,Australia,37.78S,144.41E
1857-11-01,14.547,1.187,Melbourne,Australia,37.78S,144.41E
1857-12-01,18.882,2.684,Melbourne,Australia,37.78S,144.41E
1858-01-01,21.374,2.68,Melbourne,Australia,37.78S,144.41E
1858-02-01,19.284000000000002,1.774,Melbourne,Australia,37.78S,144.41E
1858-03-01,18.139,1.411,Melbourne,Australia,37.78S,144.41E
1858-04-01,13.671,1.64,Melbourne,Australia,37.78S,144.41E
1858-05-01,10.695,1.213,Melbourne,Australia,37.78S,144.41E
1858-06-01,8.258,1.166,Melbourne,Australia,37.78S,144.41E
1858-07-01,6.987,1.3430000000000002,Melbourne,Australia,37.78S,144.41E
1858-08-01,8.749,1.3259999999999998,Melbourne,Australia,37.78S,144.41E
1858-09-01,9.748,0.974,Melbourne,Australia,37.78S,144.41E
1858-10-01,12.921,0.978,Melbourne,Australia,37.78S,144.41E
1858-11-01,16.205000000000002,2.44,Melbourne,Australia,37.78S,144.41E
1858-12-01,17.113,1.977,Melbourne,Australia,37.78S,144.41E
1859-01-01,18.908,1.084,Melbourne,Australia,37.78S,144.41E
1859-02-01,18.031,1.139,Melbourne,Australia,37.78S,144.41E
1859-03-01,16.336,1.105,Melbourne,Australia,37.78S,144.41E
1859-04-01,13.105,0.97,Melbourne,Australia,37.78S,144.41E
1859-05-01,10.237,0.8959999999999999,Melbourne,Australia,37.78S,144.41E
1859-06-01,7.885999999999999,1.1840000000000002,Melbourne,Australia,37.78S,144.41E
1859-07-01,7.127999999999999,1.744,Melbourne,Australia,37.78S,144.41E
1859-08-01,9.157,1.588,Melbourne,Australia,37.78S,144.41E
1859-09-01,10.051,1.671,Melbourne,Australia,37.78S,144.41E
1859-10-01,13.441,1.577,Melbourne,Australia,37.78S,144.41E
1859-11-01,15.222,2.165,Melbourne,Australia,37.78S,144.41E
1859-12-01,18.597,3.71,Melbourne,Australia,37.78S,144.41E
1860-01-01,19.874,3.551,Melbourne,Australia,37.78S,144.41E
1860-02-01,18.115,1.631,Melbourne,Australia,37.78S,144.41E
1860-03-01,17.631,3.265,Melbourne,Australia,37.78S,144.41E
1860-04-01,13.567,0.802,Melbourne,Australia,37.78S,144.41E
1860-05-01,10.909,1.739,Melbourne,Australia,37.78S,144.41E
1860-06-01,8.456,0.7979999999999999,Melbourne,Australia,37.78S,144.41E
1860-07-01,7.459,0.916,Melbourne,Australia,37.78S,144.41E
1860-08-01,8.521,0.939,Melbourne,Australia,37.78S,144.41E
1860-09-01,10.644,1.144,Melbourne,Australia,37.78S,144.41E
1860-10-01,12.294,0.8370000000000001,Melbourne,Australia,37.78S,144.41E
1860-11-01,15.005999999999998,3.003,Melbourne,Australia,37.78S,144.41E
1860-12-01,16.993,3.364,Melbourne,Australia,37.78S,144.41E
1861-01-01,18.729,2.411,Melbourne,Australia,37.78S,144.41E
1861-02-01,18.295,1.372,Melbourne,Australia,37.78S,144.41E
1861-03-01,18.26,0.583,Melbourne,Australia,37.78S,144.41E
1861-04-01,13.96,0.804,Melbourne,Australia,37.78S,144.41E
1861-05-01,10.049,0.754,Melbourne,Australia,37.78S,144.41E
1861-06-01,9.066,2.2030000000000003,Melbourne,Australia,37.78S,144.41E
1861-07-01,6.977,1.368,Melbourne,Australia,37.78S,144.41E
1861-08-01,8.26,0.4270000000000001,Melbourne,Australia,37.78S,144.41E
1861-09-01,10.537,0.4,Melbourne,Australia,37.78S,144.41E
1861-10-01,13.425999999999998,0.456,Melbourne,Australia,37.78S,144.41E
1861-11-01,14.711,1.591,Melbourne,Australia,37.78S,144.41E
1861-12-01,15.850999999999999,2.295,Melbourne,Australia,37.78S,144.41E
1862-01-01,19.015,1.753,Melbourne,Australia,37.78S,144.41E
1862-02-01,18.814,1.169,Melbourne,Australia,37.78S,144.41E
1862-03-01,18.024,1.641,Melbourne,Australia,37.78S,144.41E
1862-04-01,12.661,1.079,Melbourne,Australia,37.78S,144.41E
1862-05-01,10.169,1.821,Melbourne,Australia,37.78S,144.41E
1862-06-01,8.158999999999999,1.3259999999999998,Melbourne,Australia,37.78S,144.41E
1862-07-01,8.341000000000001,0.889,Melbourne,Australia,37.78S,144.41E
1862-08-01,8.515,1.233,Melbourne,Australia,37.78S,144.41E
1862-09-01,11.142,1.1909999999999998,Melbourne,Australia,37.78S,144.41E
1862-10-01,13.074000000000002,1.2990000000000002,Melbourne,Australia,37.78S,144.41E
1862-11-01,16.910999999999998,1.45,Melbourne,Australia,37.78S,144.41E
1862-12-01,17.171,1.505,Melbourne,Australia,37.78S,144.41E
1863-01-01,19.312,2.271,Melbourne,Australia,37.78S,144.41E
1863-02-01,18.596,3.0010000000000003,Melbourne,Australia,37.78S,144.41E
1863-03-01,17.426,0.8190000000000001,Melbourne,Australia,37.78S,144.41E
1863-04-01,13.414,1.767,Melbourne,Australia,37.78S,144.41E
1863-05-01,10.589,1.074,Melbourne,Australia,37.78S,144.41E
1863-06-01,8.116999999999999,1.34,Melbourne,Australia,37.78S,144.41E
1863-07-01,8.077,1.4380000000000002,Melbourne,Australia,37.78S,144.41E
1863-08-01,7.9380000000000015,1.046,Melbourne,Australia,37.78S,144.41E
1863-09-01,9.412,1.298,Melbourne,Australia,37.78S,144.41E
1863-10-01,11.957,1.101,Melbourne,Australia,37.78S,144.41E
1863-11-01,14.273,0.894,Melbourne,Australia,37.78S,144.41E
1863-12-01,16.365,1.41,Melbourne,Australia,37.78S,144.41E
1864-01-01,17.469,1.128,Melbourne,Australia,37.78S,144.41E
1864-02-01,16.879,1.493,Melbourne,Australia,37.78S,144.41E
1864-03-01,16.682000000000002,1.008,Melbourne,Australia,37.78S,144.41E
1864-04-01,14.474,1.285,Melbourne,Australia,37.78S,144.41E
1864-05-01,11.021999999999998,0.8540000000000001,Melbourne,Australia,37.78S,144.41E
1864-06-01,8.453999999999999,1.25,Melbourne,Australia,37.78S,144.41E
1864-07-01,7.819,1.029,Melbourne,Australia,37.78S,144.41E
1864-08-01,8.414,1.327,Melbourne,Australia,37.78S,144.41E
1864-09-01,11.789,1.344,Melbourne,Australia,37.78S,144.41E
1864-10-01,11.859000000000002,0.706,Melbourne,Australia,37.78S,144.41E
1864-11-01,14.922,1.042,Melbourne,Australia,37.78S,144.41E
1864-12-01,16.331,1.28,Melbourne,Australia,37.78S,144.41E
1865-01-01,17.21,0.387,Melbourne,Australia,37.78S,144.41E
1865-02-01,17.590000000000003,0.943,Melbourne,Australia,37.78S,144.41E
1865-03-01,16.464000000000002,0.578,Melbourne,Australia,37.78S,144.41E
1865-04-01,14.573,1.2009999999999998,Melbourne,Australia,37.78S,144.41E
1865-05-01,9.627,1.755,Melbourne,Australia,37.78S,144.41E
1865-06-01,8.312999999999999,1.367,Melbourne,Australia,37.78S,144.41E
1865-07-01,6.9110000000000005,1.047,Melbourne,Australia,37.78S,144.41E
1865-08-01,8.687999999999999,0.875,Melbourne,Australia,37.78S,144.41E
1865-09-01,10.38,0.443,Melbourne,Australia,37.78S,144.41E
1865-10-01,12.207,0.885,Melbourne,Australia,37.78S,144.41E
1865-11-01,15.679,1.146,Melbourne,Australia,37.78S,144.41E
1865-12-01,15.714,1.68,Melbourne,Australia,37.78S,144.41E
1866-01-01,18.488,0.426,Melbourne,Australia,37.78S,144.41E
1866-02-01,19.226000000000006,0.903,Melbourne,Australia,37.78S,144.41E
1866-03-01,16.66,0.728,Melbourne,Australia,37.78S,144.41E
1866-04-01,14.922,0.98,Melbourne,Australia,37.78S,144.41E
1866-05-01,12.386,1.227,Melbourne,Australia,37.78S,144.41E
1866-06-01,8.889,1.556,Melbourne,Australia,37.78S,144.41E
1866-07-01,7.477,1.148,Melbourne,Australia,37.78S,144.41E
1866-08-01,9.038,1.007,Melbourne,Australia,37.78S,144.41E
1866-09-01,10.368,1.088,Melbourne,Australia,37.78S,144.41E
1866-10-01,13.126,0.599,Melbourne,Australia,37.78S,144.41E
1866-11-01,13.409,0.7929999999999999,Melbourne,Australia,37.78S,144.41E
1866-12-01,16.287,1.056,Melbourne,Australia,37.78S,144.41E
1867-01-01,18.317,1.539,Melbourne,Australia,37.78S,144.41E
1867-02-01,18.175,0.8,Melbourne,Australia,37.78S,144.41E
1867-03-01,16.52,1.078,Melbourne,Australia,37.78S,144.41E
1867-04-01,13.688,1.153,Melbourne,Australia,37.78S,144.41E
1867-05-01,11.133,0.982,Melbourne,Australia,37.78S,144.41E
1867-06-01,10.094,0.626,Melbourne,Australia,37.78S,144.41E
1867-07-01,8.708,1.097,Melbourne,Australia,37.78S,144.41E
1867-08-01,9.386,1.079,Melbourne,Australia,37.78S,144.41E
1867-09-01,10.569,0.7759999999999999,Melbourne,Australia,37.78S,144.41E
1867-10-01,12.927,0.723,Melbourne,Australia,37.78S,144.41E
1867-11-01,14.859000000000002,2.08,Melbourne,Australia,37.78S,144.41E
1867-12-01,16.015,1.763,Melbourne,Australia,37.78S,144.41E
1868-01-01,17.271,0.607,Melbourne,Australia,37.78S,144.41E
1868-02-01,17.776000000000003,1.504,Melbourne,Australia,37.78S,144.41E
1868-03-01,17.846999999999994,0.624,Melbourne,Australia,37.78S,144.41E
1868-04-01,13.509,1.2919999999999998,Melbourne,Australia,37.78S,144.41E
1868-05-01,10.959,1.5730000000000002,Melbourne,Australia,37.78S,144.41E
1868-06-01,8.610999999999999,0.7609999999999999,Melbourne,Australia,37.78S,144.41E
1868-07-01,7.846,0.57,Melbourne,Australia,37.78S,144.41E
1868-08-01,8.513,1.089,Melbourne,Australia,37.78S,144.41E
1868-09-01,11.422,0.701,Melbourne,Australia,37.78S,144.41E
1868-10-01,13.386,0.8290000000000001,Melbourne,Australia,37.78S,144.41E
1868-11-01,15.75,1.072,Melbourne,Australia,37.78S,144.41E
1868-12-01,16.871,1.283,Melbourne,Australia,37.78S,144.41E
1869-01-01,18.09,1.403,Melbourne,Australia,37.78S,144.41E
1869-02-01,18.145000000000003,1.262,Melbourne,Australia,37.78S,144.41E
1869-03-01,16.735999999999994,1.226,Melbourne,Australia,37.78S,144.41E
1869-04-01,13.206,1.56,Melbourne,Australia,37.78S,144.41E
1869-05-01,9.704999999999998,0.836,Melbourne,Australia,37.78S,144.41E
1869-06-01,8.911,0.733,Melbourne,Australia,37.78S,144.41E
1869-07-01,7.894,0.942,Melbourne,Australia,37.78S,144.41E
1869-08-01,9.476,0.608,Melbourne,Australia,37.78S,144.41E
1869-09-01,10.639,0.5589999999999999,Melbourne,Australia,37.78S,144.41E
1869-10-01,12.085,0.747,Melbourne,Australia,37.78S,144.41E
1869-11-01,15.736,0.8390000000000001,Melbourne,Australia,37.78S,144.41E
1869-12-01,17.576,1.139,Melbourne,Australia,37.78S,144.41E
1870-01-01,19.076,0.7070000000000001,Melbourne,Australia,37.78S,144.41E
1870-02-01,18.962000000000003,0.936,Melbourne,Australia,37.78S,144.41E
1870-03-01,17.279999999999998,0.7,Melbourne,Australia,37.78S,144.41E
1870-04-01,14.807,1.216,Melbourne,Australia,37.78S,144.41E
1870-05-01,10.276,1.524,Melbourne,Australia,37.78S,144.41E
1870-06-01,8.921,0.804,Melbourne,Australia,37.78S,144.41E
1870-07-01,7.428,1.002,Melbourne,Australia,37.78S,144.41E
1870-08-01,8.384,0.5429999999999999,Melbourne,Australia,37.78S,144.41E
1870-09-01,10.073,0.7290000000000001,Melbourne,Australia,37.78S,144.41E
1870-10-01,13.313,0.677,Melbourne,Australia,37.78S,144.41E
1870-11-01,14.472,1.225,Melbourne,Australia,37.78S,144.41E
1870-12-01,16.577,1.173,Melbourne,Australia,37.78S,144.41E
1871-01-01,19.042,1.173,Melbourne,Australia,37.78S,144.41E
1871-02-01,19.081000000000003,1.281,Melbourne,Australia,37.78S,144.41E
1871-03-01,15.729,1.389,Melbourne,Australia,37.78S,144.41E
1871-04-01,13.754,0.847,Melbourne,Australia,37.78S,144.41E
1871-05-01,11.654000000000002,0.774,Melbourne,Australia,37.78S,144.41E
1871-06-01,9.008,0.516,Melbourne,Australia,37.78S,144.41E
1871-07-01,8.27,0.381,Melbourne,Australia,37.78S,144.41E
1871-08-01,9.772,0.541,Melbourne,Australia,37.78S,144.41E
1871-09-01,10.697,0.363,Melbourne,Australia,37.78S,144.41E
1871-10-01,11.905,1.183,Melbourne,Australia,37.78S,144.41E
1871-11-01,14.874,1.673,Melbourne,Australia,37.78S,144.41E
1871-12-01,18.164,0.983,Melbourne,Australia,37.78S,144.41E
1872-01-01,20.255,2.596,Melbourne,Australia,37.78S,144.41E
1872-02-01,18.461,1.034,Melbourne,Australia,37.78S,144.41E
1872-03-01,18.2,0.978,Melbourne,Australia,37.78S,144.41E
1872-04-01,12.549,1.408,Melbourne,Australia,37.78S,144.41E
1872-05-01,10.066,0.677,Melbourne,Australia,37.78S,144.41E
1872-06-01,9.446,1.433,Melbourne,Australia,37.78S,144.41E
1872-07-01,8.285,0.674,Melbourne,Australia,37.78S,144.41E
1872-08-01,7.425,0.946,Melbourne,Australia,37.78S,144.41E
1872-09-01,10.951,0.564,Melbourne,Australia,37.78S,144.41E
1872-10-01,12.62,0.73,Melbourne,Australia,37.78S,144.41E
1872-11-01,16.179000000000002,1.51,Melbourne,Australia,37.78S,144.41E
1872-12-01,16.371,2.083,Melbourne,Australia,37.78S,144.41E
