Date,Sessions
11/29/2017,34161
11/28/2017,35275
11/27/2017,36763
11/26/2017,26605
11/25/2017,22628
11/24/2017,21824
11/23/2017,14874
11/22/2017,27346
11/21/2017,33182
11/20/2017,34840
11/19/2017,21940
11/18/2017,21134
11/17/2017,29916
11/16/2017,34039
11/15/2017,34501
11/14/2017,36098
11/13/2017,37118
11/12/2017,22852
11/11/2017,21866
11/10/2017,28203
11/9/2017,35719
11/8/2017,34766
11/7/2017,43018
11/6/2017,39786
11/5/2017,24734
11/4/2017,23269
11/3/2017,33274
11/2/2017,35606
11/1/2017,35532
10/31/2017,32740
10/30/2017,37868
10/29/2017,25872
10/28/2017,27618
10/27/2017,32616
10/26/2017,35530
10/25/2017,35718
10/24/2017,37154
10/23/2017,40123
10/22/2017,22390
10/21/2017,20979
10/20/2017,30389
10/19/2017,33910
10/18/2017,33899
10/17/2017,34798
10/16/2017,36403
10/15/2017,21888
10/14/2017,19396
10/13/2017,29149
10/12/2017,34735
10/11/2017,33982
10/10/2017,34660
10/9/2017,37446
10/8/2017,22636
10/7/2017,20229
10/6/2017,29717
10/5/2017,33887
10/4/2017,34637
10/3/2017,34826
10/2/2017,36102
10/1/2017,22708
9/30/2017,21549
9/29/2017,30516
9/28/2017,35215
9/27/2017,34442
9/26/2017,34875
9/25/2017,36023
9/24/2017,22268
9/23/2017,20600
9/22/2017,29574
9/21/2017,33939
9/20/2017,34938
9/19/2017,35131
9/18/2017,37875
9/17/2017,22762
9/16/2017,22068
9/15/2017,32232
9/14/2017,35263
9/13/2017,35706
9/12/2017,35358
9/11/2017,36745
9/10/2017,22451
9/9/2017,21589
9/8/2017,30495
9/7/2017,34136
9/6/2017,35025
9/5/2017,38144
9/4/2017,28829
9/3/2017,25342
9/2/2017,23848
9/1/2017,33041
8/31/2017,38765
8/30/2017,40651
8/29/2017,45223
8/28/2017,59716
8/27/2017,49523
8/26/2017,42250
8/25/2017,41516
8/24/2017,37595
8/23/2017,36515
8/22/2017,37208
8/21/2017,36591
8/20/2017,26051
8/19/2017,27927
8/18/2017,34575
8/17/2017,38777
8/16/2017,38059
8/15/2017,38233
8/14/2017,41076
8/13/2017,25504
8/12/2017,26069
8/11/2017,35437
8/10/2017,39427
8/9/2017,38379
8/8/2017,39974
8/7/2017,40547
8/6/2017,26208
8/5/2017,26631
8/4/2017,37227
8/3/2017,40097
8/2/2017,41793
8/1/2017,41270
7/31/2017,42651
7/30/2017,28993
7/29/2017,30088
7/28/2017,39440
7/27/2017,43733
7/26/2017,41416
7/25/2017,41389
7/24/2017,43905
7/23/2017,28226
7/22/2017,29536
7/21/2017,37954
7/20/2017,41196
7/19/2017,42426
7/18/2017,42242
7/17/2017,43164
7/16/2017,28492
7/15/2017,27480
7/14/2017,36277
7/13/2017,40419
7/12/2017,41919
7/11/2017,41397
7/10/2017,44750
7/9/2017,30525
7/8/2017,30586
7/7/2017,39501
7/6/2017,43161
7/5/2017,46663
7/4/2017,34524
7/3/2017,44127
7/2/2017,31549
7/1/2017,29907
6/30/2017,37369
6/29/2017,41322
6/28/2017,42598
6/27/2017,43170
6/26/2017,43239
6/25/2017,27762
6/24/2017,26368
6/23/2017,39162
6/22/2017,43014
6/21/2017,42854
6/20/2017,44227
6/19/2017,43810
6/18/2017,27097
6/17/2017,27675
6/16/2017,37831
6/15/2017,42064
6/14/2017,41304
6/13/2017,42608
6/12/2017,43428
6/11/2017,29087
6/10/2017,28025
6/9/2017,37233
6/8/2017,40704
6/7/2017,43432
6/6/2017,42928
6/5/2017,44080
6/4/2017,28077
6/3/2017,26561
6/2/2017,37914
6/1/2017,40791
5/31/2017,41864
5/30/2017,43444
5/29/2017,31326
5/28/2017,28082
5/27/2017,29176
5/26/2017,36239
5/25/2017,38475
5/24/2017,40023
5/23/2017,39374
5/22/2017,40896
5/21/2017,23894
5/20/2017,23107
5/19/2017,33188
5/18/2017,37025
5/17/2017,38799
5/16/2017,39056
5/15/2017,41965
5/14/2017,23184
5/13/2017,23509
5/12/2017,32881
5/11/2017,36259
5/10/2017,37501
5/9/2017,39388
5/8/2017,41091
5/7/2017,26121
5/6/2017,58628
5/5/2017,101054
5/4/2017,120306
5/3/2017,126852
5/2/2017,131679
5/1/2017,142843
4/30/2017,63408
4/29/2017,57174
4/28/2017,99703
4/27/2017,121568
4/26/2017,128116
4/25/2017,129740
4/24/2017,131443
4/23/2017,62326
4/22/2017,56723
4/21/2017,105028
4/20/2017,122409
4/19/2017,127096
4/18/2017,137500
4/17/2017,133186
4/16/2017,59670
4/15/2017,61028
4/14/2017,99602
4/13/2017,125668
4/12/2017,127234
4/11/2017,131175
4/10/2017,134359
4/9/2017,64493
4/8/2017,60565
4/7/2017,103544
4/6/2017,120287
4/5/2017,124546
4/4/2017,39967
4/3/2017,43813
4/2/2017,27483
4/1/2017,24733
3/31/2017,33694
3/30/2017,36726
3/29/2017,39050
3/28/2017,40165
3/27/2017,42798
3/26/2017,27008
3/25/2017,25018
3/24/2017,34049
3/23/2017,38056
3/22/2017,39033
3/21/2017,39607
3/20/2017,40932
3/19/2017,25687
3/18/2017,23367
3/17/2017,30929
3/16/2017,35235
3/15/2017,37080
3/14/2017,39160
3/13/2017,37603
3/12/2017,24305
3/11/2017,23684
3/10/2017,33375
3/9/2017,36795
3/8/2017,37309
3/7/2017,38790
3/6/2017,40380
3/5/2017,24284
3/4/2017,23317
3/3/2017,33952
3/2/2017,38652
3/1/2017,39456
2/28/2017,39753
2/27/2017,41492
2/26/2017,24237
2/25/2017,24297
2/24/2017,35113
2/23/2017,38552
2/22/2017,39481
2/21/2017,41054
2/20/2017,36258
2/19/2017,25841
2/18/2017,27284
2/17/2017,34998
2/16/2017,37818
